trial_type,ssd,observed_rt,ss_rt,outcome,rt,participant_id
go,,,,go,596.0841494352045,0
go,,,,go,491.9712733829241,0
go,,,,go,404.1661759298464,0
go,,,,go,373.0930321670741,0
stop,200.0,,182.80625351066556,successful inhibition,,0
go,,,,go,336.5130783019249,0
go,,,,go,516.2177594759568,0
go,,,,go,485.9041519958812,0
go,,,,go,519.1876334908959,0
stop,250.0,,179.69790210743784,successful inhibition,,0
go,,,,go,459.708346611047,0
go,,,,go,533.2185027434396,0
go,,,,go,475.01490809520493,0
go,,,,go,566.9592374284213,0
stop,300.0,,181.34868672374614,successful inhibition,,0
go,,,,go,516.2428104344036,0
go,,,,go,395.4229890593201,0
go,,,,go,535.9463973958093,0
go,,,,go,526.5483031491444,0
stop,350.0,520.3948026691738,178.22554957010487,stop-respond,,0
go,,,,go,520.6135704188684,0
go,,,,go,540.4595713358193,0
go,,,,go,466.93732818767785,0
go,,,,go,478.34969008772543,0
stop,300.0,542.5515946275829,177.26324414478717,stop-respond,,0
go,,,,go,513.4370411328536,0
go,,,,go,469.6418811188867,0
go,,,,go,428.81832994523194,0
go,,,,go,597.3394722493413,0
stop,250.0,598.3664302158646,180.16760247610756,stop-respond,,0
go,,,,go,570.4829382838853,0
go,,,,go,507.87848383084827,0
go,,,,go,578.4331060564238,0
go,,,,go,446.47108250842837,0
stop,200.0,,181.7821209606254,successful inhibition,,0
go,,,,go,465.4812215664851,0
go,,,,go,575.0470893690959,0
go,,,,go,531.3465115452963,0
go,,,,go,476.1134401670221,0
stop,250.0,465.89778235560505,180.30773626428532,stop-respond,,0
go,,,,go,503.0956264590064,0
go,,,,go,627.5927764671476,0
go,,,,go,414.44866664974427,0
go,,,,go,532.2066935767518,0
stop,200.0,467.95149769586925,178.31589410554483,stop-respond,,0
go,,,,go,409.9610771567781,0
go,,,,go,425.56112056830705,0
go,,,,go,557.8639455214783,0
go,,,,go,458.2424989833615,0
stop,150.0,539.4319296986691,177.40078601380804,stop-respond,,0
go,,,,go,532.5507663751567,1
go,,,,go,594.7647618443941,1
go,,,,go,901.0281291316753,1
go,,,,go,466.20124666302854,1
stop,200.0,496.0371644798657,159.90900563108528,stop-respond,,1
go,,,,go,461.7698479030918,1
go,,,,go,600.6622371006167,1
go,,,,go,453.6274984148746,1
go,,,,go,620.1922759988253,1
stop,150.0,339.30519963340754,478.9886991436382,stop-respond,,1
go,,,,go,451.7743813526587,1
go,,,,go,483.1182392281752,1
go,,,,go,730.260374971347,1
go,,,,go,627.7809566847096,1
stop,100.0,633.386929662827,212.51602578459546,stop-respond,,1
go,,,,go,607.5092414739272,1
go,,,,go,470.42684631761176,1
go,,,,go,561.9244644178125,1
go,,,,go,499.1290016583999,1
stop,50.0,502.8184049559815,168.57058046854112,stop-respond,,1
go,,,,go,759.1944326572827,1
go,,,,go,594.72406915279,1
go,,,,go,580.171948467066,1
go,,,,go,528.2151338196148,1
stop,0.0,543.9338568776949,322.3978679118029,stop-respond,,1
go,,,,go,291.5140553137134,1
go,,,,go,881.7513609083826,1
go,,,,go,645.4884099973198,1
go,,,,go,530.1065920437528,1
stop,-50.0,442.3866813186667,230.10310512959063,stop-respond,,1
go,,,,go,787.0728848494012,1
go,,,,go,471.7533940833166,1
go,,,,go,660.6923878568097,1
go,,,,go,690.3004365187104,1
stop,-100.0,523.1301698863513,314.46105427800046,stop-respond,,1
go,,,,go,390.50824022991094,1
go,,,,go,598.4542680127151,1
go,,,,go,485.4505192568688,1
go,,,,go,581.8093924471206,1
stop,-150.0,456.89714050468154,252.0046012702949,stop-respond,,1
go,,,,go,567.8471384502169,1
go,,,,go,534.9047915030084,1
go,,,,go,552.9094391263809,1
go,,,,go,735.4068070737723,1
stop,-200.0,802.191840494075,222.61119572565448,stop-respond,,1
go,,,,go,411.7162014313473,1
go,,,,go,515.2890965666455,1
go,,,,go,537.811124302975,1
go,,,,go,563.1265638723949,1
stop,-250.0,,195.79801678432273,successful inhibition,,1
go,,,,go,605.1068830921283,2
go,,,,go,551.5830155768888,2
go,,,,go,576.7489552367879,2
go,,,,go,447.1603661561739,2
stop,200.0,,320.1696965254075,successful inhibition,,2
go,,,,go,536.8268112722417,2
go,,,,go,541.929099641618,2
go,,,,go,556.2971962135068,2
go,,,,go,372.8741029644462,2
stop,250.0,467.1473143331318,250.72419545482472,stop-respond,,2
go,,,,go,657.9875039120291,2
go,,,,go,689.8181662732384,2
go,,,,go,446.784817177927,2
go,,,,go,665.7826756078914,2
stop,200.0,645.7358290440814,320.710904419268,stop-respond,,2
go,,,,go,456.85133627996373,2
go,,,,go,498.4185248715489,2
go,,,,go,660.7941711481449,2
go,,,,go,597.2669183585152,2
stop,150.0,613.50506068726,242.0325815091889,stop-respond,,2
go,,,,go,513.2622346217673,2
go,,,,go,523.0325323882271,2
go,,,,go,430.75728624106017,2
go,,,,go,424.80122430624846,2
stop,100.0,783.376868485635,307.3025594007887,stop-respond,,2
go,,,,go,527.6159406400368,2
go,,,,go,499.3543648865061,2
go,,,,go,524.2048441085955,2
go,,,,go,721.1714343763025,2
stop,50.0,485.48787343960805,471.2205927314822,stop-respond,,2
go,,,,go,534.5205587627678,2
go,,,,go,393.19018844967087,2
go,,,,go,522.3133265385673,2
go,,,,go,725.223234459207,2
stop,0.0,319.05113880379196,208.237717595654,stop-respond,,2
go,,,,go,449.3757163523603,2
go,,,,go,761.7498479813348,2
go,,,,go,676.0580535959141,2
go,,,,go,398.2368611858784,2
